game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
499,499,18,15,16,25,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
500,500,30,26,16,23,0,4,58,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
501,501,22,30,24,21,1,4,57,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
502,502,30,31,37,24,2,5,67,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
503,503,23,20,23,44,3,4,56,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
504,504,27,20,19,23,0,4,60,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
505,505,14,30,14,16,1,3,44,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
506,506,21,18,26,15,2,3,53,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
507,507,24,17,20,32,3,4,58,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
508,508,22,20,14,22,tie,3,48,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
509,509,29,37,25,27,1,5,76,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
510,510,16,11,16,11,tie,3,48,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
511,511,19,21,16,34,3,4,62,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
512,512,33,26,22,28,0,5,76,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
513,513,10,38,14,9,1,3,52,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
514,514,19,20,31,14,2,4,68,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
515,515,25,22,16,38,3,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
516,516,35,25,20,30,0,4,63,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
517,517,14,21,20,18,1,4,57,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
518,518,28,21,41,21,2,4,57,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
519,519,23,21,15,21,0,3,50,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
520,520,6,21,28,20,2,4,66,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
521,521,18,24,21,15,1,4,62,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
522,522,23,18,24,17,2,4,62,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
