game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
286,286,29,26,53,23,2,6,90,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
287,287,24,19,25,42,3,4,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
288,288,27,17,13,25,0,4,56,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
289,289,25,43,21,21,1,4,62,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
290,290,21,28,46,18,2,6,101,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
291,291,20,19,22,32,3,5,73,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
292,292,29,20,29,22,tie,4,53,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
293,293,27,45,26,22,1,5,78,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
294,294,24,27,42,26,2,6,83,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
295,295,29,27,32,38,3,5,69,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
296,296,19,15,14,17,0,3,46,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
297,297,34,37,27,26,1,5,80,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
298,298,15,17,30,17,2,3,40,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
299,299,17,17,15,35,3,5,69,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
300,300,21,29,19,19,1,4,60,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
301,301,30,18,29,32,3,5,76,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
302,302,19,20,29,13,2,3,35,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
303,303,17,9,10,22,3,3,41,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
304,304,29,19,14,15,0,3,37,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
305,305,15,26,16,14,1,3,37,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
306,306,18,26,51,18,2,5,71,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
307,307,26,17,21,33,3,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
308,308,33,26,28,27,0,5,75,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
309,309,15,14,15,14,tie,3,40,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
310,310,22,22,39,20,2,4,50,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
311,311,25,19,24,37,3,4,58,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
312,312,34,23,22,24,0,4,59,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
313,313,26,44,27,31,1,5,68,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
314,314,21,17,26,24,2,4,58,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
315,315,23,23,14,37,3,5,81,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
316,316,23,25,18,21,1,4,52,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
317,317,21,36,25,26,1,5,80,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
318,318,25,33,40,25,2,5,69,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
319,319,15,13,18,41,3,4,65,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
320,320,26,16,24,13,0,4,55,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
321,321,31,46,31,32,1,6,89,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
322,322,20,16,27,16,2,4,50,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
323,323,26,27,26,36,3,5,70,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
324,324,37,29,23,21,0,4,67,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
325,325,34,50,34,34,1,6,84,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
326,326,19,21,40,21,2,4,56,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
327,327,21,20,26,26,tie,4,68,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
328,328,19,13,17,11,0,3,39,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
329,329,39,44,32,28,1,6,85,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
330,330,23,21,21,27,3,5,84,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
331,331,19,23,18,35,3,4,47,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
332,332,53,14,17,22,0,5,85,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
333,333,19,37,22,24,1,5,80,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
