game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
499,499,27,22,0,4,54,HeuristicAgent,BoundedGreedyAgent,1
500,500,56,35,0,4,54,BoundedGreedyAgent,HeuristicAgent,0
501,501,39,36,0,4,55,HeuristicAgent,BoundedGreedyAgent,1
502,502,57,53,0,5,64,BoundedGreedyAgent,HeuristicAgent,0
503,503,46,64,1,5,60,HeuristicAgent,BoundedGreedyAgent,1
504,504,66,48,0,6,72,BoundedGreedyAgent,HeuristicAgent,0
505,505,24,44,1,3,36,HeuristicAgent,BoundedGreedyAgent,1
506,506,47,48,1,4,61,BoundedGreedyAgent,HeuristicAgent,0
507,507,35,79,1,6,83,HeuristicAgent,BoundedGreedyAgent,1
508,508,30,32,1,3,38,BoundedGreedyAgent,HeuristicAgent,0
509,509,56,53,0,5,72,HeuristicAgent,BoundedGreedyAgent,1
510,510,48,40,0,4,46,BoundedGreedyAgent,HeuristicAgent,0
511,511,50,69,1,6,89,HeuristicAgent,BoundedGreedyAgent,1
512,512,63,40,0,6,80,BoundedGreedyAgent,HeuristicAgent,0
513,513,39,57,1,4,53,HeuristicAgent,BoundedGreedyAgent,1
514,514,49,51,1,6,85,BoundedGreedyAgent,HeuristicAgent,0
515,515,37,53,1,5,55,HeuristicAgent,BoundedGreedyAgent,1
516,516,65,50,0,5,64,BoundedGreedyAgent,HeuristicAgent,0
517,517,39,50,1,4,49,HeuristicAgent,BoundedGreedyAgent,1
518,518,67,45,0,5,55,BoundedGreedyAgent,HeuristicAgent,0
519,519,30,43,1,3,46,HeuristicAgent,BoundedGreedyAgent,1
520,520,68,53,0,6,76,BoundedGreedyAgent,HeuristicAgent,0
521,521,35,42,1,4,51,HeuristicAgent,BoundedGreedyAgent,1
522,522,47,28,0,5,70,BoundedGreedyAgent,HeuristicAgent,0
523,523,45,54,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
524,524,57,48,0,6,82,BoundedGreedyAgent,HeuristicAgent,0
525,525,51,54,1,5,57,HeuristicAgent,BoundedGreedyAgent,1
526,526,47,39,0,4,60,BoundedGreedyAgent,HeuristicAgent,0
527,527,49,45,0,4,55,HeuristicAgent,BoundedGreedyAgent,1
528,528,64,37,0,5,61,BoundedGreedyAgent,HeuristicAgent,0
