game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
197,197,2,72,1,5,86,RandomAgent,HeuristicAgent,1
198,198,75,31,0,6,97,HeuristicAgent,RandomAgent,0
199,199,24,47,1,4,57,RandomAgent,HeuristicAgent,1
200,200,57,29,0,5,87,HeuristicAgent,RandomAgent,0
201,201,17,73,1,5,83,RandomAgent,HeuristicAgent,1
202,202,63,17,0,4,62,HeuristicAgent,RandomAgent,0
203,203,30,36,1,5,96,RandomAgent,HeuristicAgent,1
204,204,64,28,0,5,81,HeuristicAgent,RandomAgent,0
205,205,11,56,1,4,75,RandomAgent,HeuristicAgent,1
206,206,43,16,0,4,75,HeuristicAgent,RandomAgent,0
207,207,8,56,1,5,82,RandomAgent,HeuristicAgent,1
208,208,52,8,0,5,78,HeuristicAgent,RandomAgent,0
209,209,19,40,1,5,90,RandomAgent,HeuristicAgent,1
210,210,57,13,0,5,85,HeuristicAgent,RandomAgent,0
211,211,13,59,1,5,75,RandomAgent,HeuristicAgent,1
212,212,57,27,0,5,93,HeuristicAgent,RandomAgent,0
213,213,17,68,1,5,80,RandomAgent,HeuristicAgent,1
214,214,54,7,0,4,77,HeuristicAgent,RandomAgent,0
215,215,18,47,1,4,74,RandomAgent,HeuristicAgent,1
216,216,73,8,0,5,77,HeuristicAgent,RandomAgent,0
217,217,17,49,1,4,76,RandomAgent,HeuristicAgent,1
218,218,70,9,0,5,84,HeuristicAgent,RandomAgent,0
219,219,24,57,1,5,96,RandomAgent,HeuristicAgent,1
220,220,62,50,0,7,121,HeuristicAgent,RandomAgent,0
221,221,15,44,1,4,76,RandomAgent,HeuristicAgent,1
222,222,55,5,0,5,76,HeuristicAgent,RandomAgent,0
223,223,13,48,1,4,57,RandomAgent,HeuristicAgent,1
224,224,55,20,0,5,79,HeuristicAgent,RandomAgent,0
225,225,22,36,1,4,67,RandomAgent,HeuristicAgent,1
226,226,38,30,0,3,48,HeuristicAgent,RandomAgent,0
227,227,17,74,1,6,121,RandomAgent,HeuristicAgent,1
228,228,54,22,0,5,89,HeuristicAgent,RandomAgent,0
229,229,25,73,1,5,96,RandomAgent,HeuristicAgent,1
230,230,55,13,0,4,77,HeuristicAgent,RandomAgent,0
231,231,25,54,1,4,62,RandomAgent,HeuristicAgent,1
232,232,68,20,0,5,88,HeuristicAgent,RandomAgent,0
233,233,37,66,1,6,101,RandomAgent,HeuristicAgent,1
234,234,69,13,0,5,81,HeuristicAgent,RandomAgent,0
235,235,17,55,1,5,80,RandomAgent,HeuristicAgent,1
236,236,54,0,0,4,64,HeuristicAgent,RandomAgent,0
237,237,21,66,1,6,108,RandomAgent,HeuristicAgent,1
238,238,52,47,0,6,97,HeuristicAgent,RandomAgent,0
239,239,19,88,1,6,104,RandomAgent,HeuristicAgent,1
240,240,77,6,0,5,91,HeuristicAgent,RandomAgent,0
241,241,13,67,1,4,80,RandomAgent,HeuristicAgent,1
242,242,60,12,0,5,82,HeuristicAgent,RandomAgent,0
243,243,8,84,1,8,148,RandomAgent,HeuristicAgent,1
244,244,69,19,0,5,81,HeuristicAgent,RandomAgent,0
245,245,27,85,1,7,117,RandomAgent,HeuristicAgent,1
246,246,62,19,0,4,81,HeuristicAgent,RandomAgent,0
247,247,41,88,1,7,132,RandomAgent,HeuristicAgent,1
248,248,68,8,0,5,87,HeuristicAgent,RandomAgent,0
249,249,0,83,1,5,92,RandomAgent,HeuristicAgent,1
250,250,38,32,0,4,66,HeuristicAgent,RandomAgent,0
251,251,13,84,1,5,89,RandomAgent,HeuristicAgent,1
252,252,65,14,0,4,72,HeuristicAgent,RandomAgent,0
253,253,0,82,1,5,90,RandomAgent,HeuristicAgent,1
254,254,81,11,0,5,82,HeuristicAgent,RandomAgent,0
255,255,28,66,1,5,73,RandomAgent,HeuristicAgent,1
256,256,44,4,0,4,69,HeuristicAgent,RandomAgent,0
257,257,16,31,1,5,83,RandomAgent,HeuristicAgent,1
258,258,46,11,0,4,71,HeuristicAgent,RandomAgent,0
259,259,25,51,1,4,78,RandomAgent,HeuristicAgent,1
260,260,47,22,0,4,77,HeuristicAgent,RandomAgent,0
261,261,6,57,1,4,66,RandomAgent,HeuristicAgent,1
262,262,62,14,0,4,65,HeuristicAgent,RandomAgent,0
263,263,14,37,1,3,50,RandomAgent,HeuristicAgent,1
264,264,94,3,0,6,101,HeuristicAgent,RandomAgent,0
265,265,18,53,1,5,75,RandomAgent,HeuristicAgent,1
266,266,75,1,0,5,77,HeuristicAgent,RandomAgent,0
267,267,20,52,1,4,60,RandomAgent,HeuristicAgent,1
268,268,77,6,0,6,98,HeuristicAgent,RandomAgent,0
269,269,5,62,1,4,81,RandomAgent,HeuristicAgent,1
270,270,52,11,0,4,59,HeuristicAgent,RandomAgent,0
271,271,15,59,1,4,75,RandomAgent,HeuristicAgent,1
272,272,51,42,0,5,75,HeuristicAgent,RandomAgent,0
273,273,18,69,1,5,84,RandomAgent,HeuristicAgent,1
274,274,65,14,0,4,75,HeuristicAgent,RandomAgent,0
275,275,27,74,1,5,86,RandomAgent,HeuristicAgent,1
276,276,57,13,0,4,70,HeuristicAgent,RandomAgent,0
277,277,37,43,1,4,63,RandomAgent,HeuristicAgent,1
278,278,49,0,0,4,65,HeuristicAgent,RandomAgent,0
279,279,18,53,1,4,76,RandomAgent,HeuristicAgent,1
280,280,77,10,0,6,107,HeuristicAgent,RandomAgent,0
281,281,15,60,1,5,100,RandomAgent,HeuristicAgent,1
282,282,59,38,0,5,84,HeuristicAgent,RandomAgent,0
283,283,12,48,1,4,74,RandomAgent,HeuristicAgent,1
284,284,51,61,1,7,125,HeuristicAgent,RandomAgent,0
285,285,3,69,1,5,96,RandomAgent,HeuristicAgent,1
286,286,66,23,0,6,96,HeuristicAgent,RandomAgent,0
287,287,5,46,1,4,69,RandomAgent,HeuristicAgent,1
288,288,40,21,0,4,63,HeuristicAgent,RandomAgent,0
289,289,1,74,1,5,91,RandomAgent,HeuristicAgent,1
290,290,64,12,0,5,87,HeuristicAgent,RandomAgent,0
291,291,25,58,1,7,132,RandomAgent,HeuristicAgent,1
292,292,57,14,0,4,56,HeuristicAgent,RandomAgent,0
293,293,13,101,1,7,136,RandomAgent,HeuristicAgent,1
294,294,74,14,0,6,109,HeuristicAgent,RandomAgent,0
295,295,4,74,1,4,76,RandomAgent,HeuristicAgent,1
296,296,56,31,0,5,82,HeuristicAgent,RandomAgent,0
297,297,15,66,1,5,96,RandomAgent,HeuristicAgent,1
298,298,57,12,0,4,61,HeuristicAgent,RandomAgent,0
299,299,18,58,1,5,80,RandomAgent,HeuristicAgent,1
300,300,33,14,0,3,57,HeuristicAgent,RandomAgent,0
301,301,9,89,1,6,102,RandomAgent,HeuristicAgent,1
302,302,50,13,0,3,47,HeuristicAgent,RandomAgent,0
303,303,24,46,1,5,93,RandomAgent,HeuristicAgent,1
304,304,56,10,0,4,60,HeuristicAgent,RandomAgent,0
305,305,9,33,1,3,60,RandomAgent,HeuristicAgent,1
306,306,77,0,0,6,102,HeuristicAgent,RandomAgent,0
307,307,19,79,1,6,108,RandomAgent,HeuristicAgent,1
308,308,64,11,0,5,93,HeuristicAgent,RandomAgent,0
309,309,5,75,1,5,92,RandomAgent,HeuristicAgent,1
310,310,67,10,0,5,72,HeuristicAgent,RandomAgent,0
311,311,12,41,1,3,58,RandomAgent,HeuristicAgent,1
312,312,81,15,0,6,115,HeuristicAgent,RandomAgent,0
313,313,12,91,1,6,104,RandomAgent,HeuristicAgent,1
314,314,53,43,0,5,89,HeuristicAgent,RandomAgent,0
315,315,44,36,0,5,98,RandomAgent,HeuristicAgent,1
316,316,69,0,0,4,69,HeuristicAgent,RandomAgent,0
317,317,20,81,1,7,126,RandomAgent,HeuristicAgent,1
318,318,62,1,0,4,60,HeuristicAgent,RandomAgent,0
319,319,12,48,1,4,74,RandomAgent,HeuristicAgent,1
320,320,67,16,0,5,87,HeuristicAgent,RandomAgent,0
321,321,40,47,1,5,90,RandomAgent,HeuristicAgent,1
322,322,52,12,0,4,58,HeuristicAgent,RandomAgent,0
323,323,0,103,1,7,136,RandomAgent,HeuristicAgent,1
324,324,49,2,0,5,88,HeuristicAgent,RandomAgent,0
325,325,16,52,1,6,123,RandomAgent,HeuristicAgent,1
326,326,63,2,0,5,79,HeuristicAgent,RandomAgent,0
327,327,22,60,1,5,90,RandomAgent,HeuristicAgent,1
328,328,37,26,0,3,53,HeuristicAgent,RandomAgent,0
329,329,4,104,1,6,128,RandomAgent,HeuristicAgent,1
330,330,56,13,0,5,78,HeuristicAgent,RandomAgent,0
331,331,24,51,1,4,51,RandomAgent,HeuristicAgent,1
332,332,73,8,0,5,87,HeuristicAgent,RandomAgent,0
333,333,23,51,1,5,98,RandomAgent,HeuristicAgent,1
334,334,67,19,0,5,88,HeuristicAgent,RandomAgent,0
335,335,26,85,1,8,162,RandomAgent,HeuristicAgent,1
336,336,58,10,0,5,77,HeuristicAgent,RandomAgent,0
337,337,20,54,1,5,86,RandomAgent,HeuristicAgent,1
338,338,66,7,0,5,91,HeuristicAgent,RandomAgent,0
339,339,0,57,1,5,91,RandomAgent,HeuristicAgent,1
340,340,70,13,0,5,93,HeuristicAgent,RandomAgent,0
341,341,26,47,1,5,80,RandomAgent,HeuristicAgent,1
342,342,77,1,0,5,77,HeuristicAgent,RandomAgent,0
343,343,17,33,1,4,82,RandomAgent,HeuristicAgent,1
344,344,36,32,0,4,90,HeuristicAgent,RandomAgent,0
