game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
318,318,17,12,46,3,2,6,122,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
319,319,4,9,15,42,3,4,111,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
320,320,50,22,3,11,0,5,121,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
321,321,9,63,3,5,1,6,141,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
322,322,21,19,41,0,2,4,81,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
323,323,19,6,5,43,3,7,153,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
324,324,43,18,16,2,0,6,147,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
325,325,15,64,17,30,1,9,214,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
326,326,9,6,43,19,2,4,103,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
327,327,12,7,28,38,3,5,124,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
328,328,55,4,14,11,0,5,133,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
329,329,21,53,16,0,1,6,154,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
330,330,30,19,38,18,2,6,128,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
331,331,21,7,25,30,3,5,124,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
332,332,44,24,19,0,0,4,100,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
333,333,3,73,11,33,1,8,190,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
334,334,15,20,37,3,2,6,131,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
335,335,18,22,11,59,3,7,169,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
336,336,47,4,3,9,0,4,86,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
337,337,1,29,12,24,1,5,101,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
338,338,4,0,79,5,2,6,149,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
339,339,3,15,12,46,3,4,98,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
340,340,64,10,22,35,0,9,212,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
341,341,21,33,10,15,1,6,145,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
342,342,21,18,61,6,2,6,134,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
343,343,9,26,22,58,3,6,130,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
344,344,62,18,7,0,0,6,147,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
345,345,17,54,2,28,1,5,114,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
346,346,7,2,67,15,2,6,131,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
347,347,2,23,3,53,3,6,110,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
348,348,35,2,9,15,0,4,104,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
349,349,14,75,13,2,1,6,137,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
350,350,0,14,38,9,2,4,93,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
351,351,15,4,3,45,3,5,103,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
352,352,34,40,16,0,1,5,131,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
353,353,0,40,10,10,1,4,92,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
354,354,9,14,48,7,2,4,93,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
355,355,13,1,4,53,3,5,126,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
356,356,51,24,1,19,0,6,131,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
357,357,11,42,6,3,1,5,129,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
358,358,0,12,33,7,2,3,83,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
359,359,18,25,30,53,3,6,140,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
360,360,40,21,21,6,0,6,145,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
361,361,9,30,16,20,1,4,85,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
362,362,15,10,38,12,2,5,107,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
363,363,16,6,24,41,3,5,115,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
364,364,58,14,16,11,0,6,141,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
365,365,11,48,18,17,1,5,115,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
366,366,1,17,35,18,2,5,118,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
367,367,6,10,20,52,3,5,120,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
368,368,78,11,0,24,0,7,172,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
369,369,0,42,10,5,1,4,101,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
370,370,7,11,52,2,2,5,100,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
371,371,4,10,22,43,3,5,112,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
372,372,25,11,14,24,0,3,56,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
373,373,7,55,8,5,1,5,112,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
374,374,4,2,62,18,2,5,124,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
375,375,5,11,26,38,3,5,130,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
376,376,35,8,18,24,0,4,94,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
377,377,8,43,15,16,1,5,113,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
378,378,22,7,54,12,2,6,144,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
379,379,0,11,21,47,3,4,110,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
380,380,45,10,25,16,0,4,102,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
381,381,19,31,13,15,1,3,85,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
382,382,21,17,67,10,2,7,156,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
383,383,18,4,30,64,3,7,166,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
384,384,40,12,13,19,0,4,93,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
385,385,15,56,22,24,1,7,170,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
386,386,17,18,39,5,2,5,123,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
387,387,21,4,30,52,3,7,183,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
388,388,79,22,15,19,0,9,227,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
389,389,14,45,7,21,1,5,109,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
